ID,Number of Incidents,Response Time (Seconds)
1,59484,15341
2,62052,14907
3,63257,15654
4,68184,15914
5,68351,16406
6,60968,16917
7,65140,15273
8,63863,15565
9,64350,15456
10,62880,16184
11,65796,17322
12,63887,15861
13,27951,45506
14,29382,45023
15,28536,47188
16,29186,50316
17,28619,51117
18,25351,53768
19,29122,45867
20,28183,47144
21,29025,46344
22,27566,51224
23,28917,55465
24,28938,48845
25,2070,62567
26,2181,58194
27,2103,62999
28,2508,61145
29,2431,61188
30,2150,65257
31,2541,59599
32,2455,59902
33,2813,58885
34,2595,61163
35,2694,64682
36,2764,58765
