Region,C1_AVG_Time_Seconds,C1T_AVG_Time_Seconds,C2_AVG_Time_Seconds,C3_AVG_Time_Seconds,C4_AVG_Time_Seconds
North East,4531,5561,18239,64199,57236
West Midlands,4884,5604,8912,26776,38250
Yorkshire,5020,6505,14018,33366,43262
North West,5475,7507,17005,49946,65531
South Central,5090,7240,12263,37951,55878
South East Coast,5434,7139,14532,70098,89618
London,4573,8053,14000,41101,58999
England,5123,7933,15877,46802,59800
South Western,5000,7970,20630,54152,77351
Isle of Wight,8085,10179,15344,46729,72979
East of England,5655,8912,18685,62189,64125
East Midlands,5449,12208,21295,54498,51317
